FID,OBJECTID,PERIMETER,CO_NAME,CO_ABBR,ACRES,Shape_Leng,RO,SHAPE_Length,SHAPE_Area
1,1,156472.984375,ROCKINGHAM,ROCK,366053.0625,513361.787377,WSRO,194502.42476026,15945261643.2
2,2,166183.5,GUILFORD,GUIL,420968.9375,545220.367738,WSRO,205797.586927113,18337394618.9
3,3,143114.546875,ALAMANCE,ALAM,278127.03125,469534.986553,WSRO,177272.968716837,12115206198.5
4,4,116938.171875,ALEXANDER,ALEX,168640.984375,383654.655146,MRO,144599.548259019,7345996918.97
5,5,180894.171875,RANDOLPH,RAND,505667.96875,593483.622166,WSRO,223033.815059566,22026881771.3
6,6,174751.765625,WAYNE,WAYN,356469.25,573331.446435,WARO,214578.931683179,15527790010.1
7,7,159013.59375,ASHE,ASHE,273892.96875,521697.103962,WSRO,197779.98310163,11930770237
8,8,132949.109375,ALLEGHANY,ALLE,150006.015625,436183.860267,WSRO,165451.638271064,6534257979.84
9,9,198715.75,CURRITUCK,CURR,283933.65625,651953.268482,WARO,246981.736675799,12368142399.3
10,10,203025.140625,CAMDEN,CAMD,195563.296875,666091.672566,WARO,252271.489220276,8518732132.86
11,11,174563.109375,SURRY,SURR,345225.15625,572712.492642,WSRO,217065.271409979,15037999001.9
12,12,134811.796875,GATES,GATE,221245.71875,442295.032148,WARO,167637.717470312,9637456883.36
13,13,178531.078125,HERTFORD,HERT,231307.421875,585730.729172,WARO,221855.649581287,10075744740.6
14,14,233920.75,NORTHAMPTON,NORT,351931.65625,767455.019743,RRO,290818.139976168,15330134174.1
15,15,138205.25,STOKES,STOK,291801.6875,453428.400721,WSRO,171841.230258897,12710872868
16,16,150724.609375,WARREN,WARR,283768.28125,494502.320681,RRO,187423.937826108,12360938481.3
17,17,118698.65625,VANCE,VANC,172724.4375,389430.502761,RRO,147671.235360466,7523871764.2
18,18,174102.328125,GRANVILLE,GRAN,343236.40625,571200.735994,RRO,216399.958748132,14951367501.1
19,19,133013.5,CASWELL,CASW,274504.8125,436395.133081,WSRO,165389.510805057,11957421743.3
20,20,129423.320313,PERSON,PERS,258586.328125,424616.349338,RRO,160937.097818863,11264013569.2
21,21,162068.828125,PASQUOTANK,PASQ,185082.4375,531720.831869,WARO,201302.989149849,8062185261.48
22,22,270593.875,HALIFAX,HALI,468009.03125,887773.519197,RRO,335773.563775719,20386459635.5
23,23,216503.140625,WILKES,WILK,485694.34375,710310.736471,WSRO,268605.881049838,21156832622.4
24,24,133521.765625,WATAUGA,WATA,200036.21875,438062.624795,WSRO,165665.951715588,8713572255.03
25,25,133816.640625,PERQUIMANS,PERQ,210532.84375,439030.094037,WARO,165961.966885526,9170804418.9
26,26,133144.65625,CHOWAN,CHOW,149345.109375,436825.398959,WARO,165123.321835749,6505468400.6
27,27,131006.046875,AVERY,AVER,158360.890625,429808.999377,ARO,162362.96967,6898195954.06
28,28,137763.21875,YADKIN,YADK,216142.59375,451978.193755,WSRO,170768.461243944,9415165397.5
29,29,289002.53125,DARE,DARE,799121.875,948169.064091,WARO,356684.436128166,34809724473
